,ementa,tema_resposta_modelo,probabilidade_predicao,tema_correto,modelo_acertou
25,"Dispõe sobre a obrigatoriedade de implantação de ciclovias/ciclofaixas pelo Poder Público ou empresas concessionárias/privadas em obras e serviços de engenharia, nas intervenções viárias metropolitanas, e de paraciclos e bicicletários em terminais rodoviários, estações metroferroviárias, instalações portuárias, espaços públicos e privados de trabalho, ensino, comércio e lazer, assim como dá nova redação a Lei nº 8.666 de 21 de junho de 1993 que ""Institui normas para licitações e contratos da Administração Pública"", a Lei nº 9.503, de 23 de setembro de 1997 que ""Institui o Código de Trânsito Brasileiro"", a Lei nº 12.587, de 3 de janeiro de 2012 que ""Institui as diretrizes da Política Nacional do Mobilidade Urbana"", a Lei nº 10.257, de 10 de julho de 2001 que ""Estabelece diretrizes gerais da política urbana - Estatuto das Cidades"", a Lei nº 11.977 de 7 de julho de 2009 que "" Dispõe sobre o Programa Minha Casa, Minha Vida - PMCMV e a regularização fundiária de assentamentos localizados em áreas urbanas, e dá outras providências",Direitos Humanos e Minorias,0.305,"Viação, Transporte e Mobilidade",Não
26,"MODIFICA OS ARTS. 233, INCISOS I A III, 240 PARAGRAFO UNICO, 247 E 251 DO DECRETO-LEI Nº 4.657, DE 04 DE SETEMBRO DE 1942 (LEI DE INTRODUÇÃO AO CODIGO CIVIL BRASILEIRO), E DA OUTRAS PROVIDENCIAS.",Direitos Humanos e Minorias,0.4225,Direitos Humanos e Minorias,Sim
27,Regula aposentadoria de magistrado de segundo grau e dá outras providências.,Trabalho e Emprego,0.815,Trabalho e Emprego,Sim
28,"Aprova o ato que renova  a concessão da Fundação Radiodifusora de Congonhas, para explorar serviço de radiodifusão sonora em onda média, na cidade de Congonhas, Estado de Minas Gerais.",Direitos Humanos e Minorias,0.995,Direitos Humanos e Minorias,Sim
29,"Altera a Lei nº 8.213, de 24 de julho de 1991, para transferir à Previdência Social o pagamento do salário-maternidade devido à segurada empregada gestante, em caso de interrupção das atividades da empresa.",Direitos Humanos e Minorias,0.69,Direitos Humanos e Minorias,Sim
30,"DISPÕE SOBRE A LEI ORGANICA DA ASSISTENCIA SOCIAL, SUAS DEFINIÇÕES, PRINCIPIOS E DIRETRIZES, DETERMINA COMPETENCIAS GERAIS EM CADA ESFERA DE GOVERNO, BENEFICIOS E SERVIÇOS, FONTES DE FINANCIAMENTO E DA OUTRAS PROVIDENCIAS.",Direitos Humanos e Minorias,0.45433333333333337,Direitos Humanos e Minorias,Sim
31,"Altera dispositivo da Lei nº 10.826, de 22 de dezembro de 2003 (Estatuto do Desarmamento).",Direito Penal e Processual Penal,0.99,Direito Penal e Processual Penal,Sim
32,"ACRESCENTA ITEM IX AO ARTIGO 42 DA LEI 6435, DE 15 DE JULHO DE 1977, DISPONDO SOBRE A INEXIGIBILIDADE DE LIMITE MINIMO DE IDADE PARA A CONCESSÃO DA APOSENTADORIA POR TEMPO DE SERVIÇO.",Trabalho e Emprego,0.785,Trabalho e Emprego,Sim
33,"Acrescenta dispositivo ao art. 86 da Lei nº 7.210, de 11 de julho de 1984, que institui a Lei de Execução Penal.",Direitos Humanos e Minorias,0.52,Direitos Humanos e Minorias,Sim
34,"Dispõe sobre a dedução de óculos de grau e lentes de contato corretivas, medicamentos e vacinas não oferecidos pelo Sistema Único de Saúde, bem como exame laboratorial de reconhecimento de paternidade.",Direitos Humanos e Minorias,0.735,Direitos Humanos e Minorias,Sim
35,"ALTERA A REDAÇÃO DOS ARTIGOS SETIMO, NONO E DEZ DA LEI 6223, DE 14 DE JULHO DE 1975, QUE DISPÕE SOBRE A FISCALIZAÇÃO FINANCEIRA E ORÇAMENTARIA DA UNIÃO, PELO CONGRESSO NACIONAL E DA OUTRAS PROVIDENCIAS.",Direitos Humanos e Minorias,0.815,Direitos Humanos e Minorias,Sim
36,"Altera os arts. 24 e 102 da Lei nº 8.213, de 24 de julho de 1991, restabelecendo o direito aos benefícios do Regime Geral de Previdência Social, para os que perderam a condição de segurado, desde que tenham contribuições anteriores que cumpram a carência exigida.",Trabalho e Emprego,0.66,Trabalho e Emprego,Sim
37,"Acrescenta os §§ 1º e 2º ao art. 19 da Lei nº 10.098, de 19 de dezembro de 2000, que estabelece normas gerais e critérios básicos para a promoção da acessibilidade das pessoas portadoras de deficiência ou com mobilidade reduzida, e dá outras providências, para estabelecer cronograma de adoção de percentuais mínimos de veiculação de programas, nas emissoras de radiodifusão de sons e imagens (televisão), contendo subtitulação por meio de legenda oculta, linguagem de sinais ou outra medida técnica que permita a fruição de seu conteúdo por pessoas com deficiência auditiva.",Direito Civil e Processual Civil,0.91,Direito Civil e Processual Civil,Sim
38,DISPÕE SOBRE O PAGAMENTO DO AUXILIO NATALIDADE.,Direitos Humanos e Minorias,0.49316017316017313,Cidades e Desenvolvimento Urbano,Não
39,Regula o direito ao parto anônimo e dá outras providências.,Direitos Humanos e Minorias,0.8875,Direitos Humanos e Minorias,Sim
40,"Altera a Lei no 10.826, de 22 de dezembro de 2003 - Estatuto do Desarmamento e o Decreto-Lei no 2.848, de 7 de dezembro de 1940 - Código Penal, para conceder tratamento penal mais rígidos a crimes relacionados com o porte de arma de fogo.",Direito Penal e Processual Penal,0.84,Direito Penal e Processual Penal,Sim
41,"Altera a Lei nº 7.998, de 11 de janeiro de 1990, para instituir a bolsa-emprego, nos casos de contratação de trabalhadores desempregados com pelo menos 18 (dezoito) anos de idade, após conclusão de estágio.",Previdência e Assistência Social,0.575,Previdência e Assistência Social,Sim
42,"DISPÕE SOBRE A APOSENTADORIA ESPECIAL DOS TRABALHADORES QUE EXERÇAM ATIVIDADES COM LÃ ""IN NATURA"".",Trabalho e Emprego,0.97,Trabalho e Emprego,Sim
43,Dispõe sobre o reconhecimento  da atividade de  capoeira e dá outras providências.,"Arte, Cultura e Religião",0.38,"Arte, Cultura e Religião",Sim
44,"Cria a Aposentadoria Especial para os trabalhadores expostos a agentes físicos, químicos e biológicos em nível acima da tolerância de nocividade à saúde ou de integridade física nas empresas de fabricação de defensivos agrícolas.",Trabalho e Emprego,0.995,Trabalho e Emprego,Sim
45,DISPÕE SOBRE O APROVEITAMENTO DOS CEGOS NAS MESAS TELEFONICAS DAS EMPRESAS PRIVADAS E DOS SERVIÇOS PUBLICOS.,Direitos Humanos e Minorias,0.68,Direitos Humanos e Minorias,Sim
46,"MODIFICA O ARTIGO 37 DO DECRETO-LEI Nº 1.455, DE 07 DE ABRIL DE 1976, COM A REDAÇÃO DADA PELO ARTIGO PRIMEIRO, DA LEI Nº 8.387, DE 30 DE DEZEMBRO DE 1991.",Direitos Humanos e Minorias,0.405,Saúde,Não
47,Dispõe sobre a inclusão de legenda codificada na programação das emissoras de televisão.,Direitos Humanos e Minorias,0.895,"Arte, Cultura e Religião",Não
48,DISPÕE SOBRE A APOSENTADORIA ESPECIAL DE MOTORISTAS DO SERVIÇO PUBLICO FEDERAL E REGULA HORARIOS DE TRABALHO DOS MESMOS.,Trabalho e Emprego,0.955,Trabalho e Emprego,Sim
49,"Autoriza a criação de Distrito Agropecuário no Município de Parintins, no Estado do Amazonas, e dá outras providências.",Direitos Humanos e Minorias,1.0,Direitos Humanos e Minorias,Sim
50,"ALTERA O ARTIGO OITAVO, DA LEI 5107, DE 13 DE SETEMBRO DE 1966, QUE CRIOU O FUNDO DE GARANTIA DO TEMPO DE SERVIÇO.",Direitos Humanos e Minorias,0.795,Direitos Humanos e Minorias,Sim
51,"Insere, no art. 70 da Lei nº 9.394, de 1996, o pagamento de proventos de aposentadoria dos profissionais da educação entre as despesas consideradas como de manutenção e desenvolvimento do ensino.",Trabalho e Emprego,0.665,Trabalho e Emprego,Sim
52,"CONSIDERA AUTONOMO O DONO DE BARBEARIA QUE SE APLIQUE NO TRABALHO DE UM ESTABELECIMENTO COM A COLABORAÇÃO DO EMPREGADO DE QUALQUER CATEGORIA E COMO TAL SUJEITO A FERIAS, A UMA SO CONTRIBUIÇÃO AO INSTITUTO DE APOSENTADORIA E PENSÕES.",Trabalho e Emprego,0.9,Trabalho e Emprego,Sim
53,"DISPÕE SOBRE ATENDIMENTO PREFERENCIAL A IDOSOS, GESTANTES E PORTADORES DE DEFICIENCIA PARA MARCAÇÃO DE CONSULTAS E EXAMES COMPLEMENTARES NO SISTEMA UNICO DE SAUDE.",Saúde,0.40125,Saúde,Sim
54,Alterar o artigo 183 do Código Penal para acrescentar o inciso IV a sua redação.,Direitos Humanos e Minorias,0.605,Direitos Humanos e Minorias,Sim
55,"ALTERA A REDAÇÃO DA LEI Nº 6.239, DE 19 DE SETEMBRO DE 1975, QUE ""REGULA AS AÇÕES DE DESPEJO DE HOSPITAIS, UNIDADES SANITARIAS OFICIAIS, ESTABELECIMENTOS DE SAUDE E ENSINO"".",Direitos Humanos e Minorias,0.555,Relações Internacionais e Comércio Exterior,Não
56,"ACRESCENTA PARAGRAFO UNICO AO ARTIGO PRIMEIRO DA LEI Nº 8.072, DE 25 DE JULHO DE 1990, TORNANDO IMPRESCRITIVEIS OS CRIMES HEDIONDOS.",Direito Penal e Processual Penal,0.265,Direito Penal e Processual Penal,Sim
57,"Altera a Lei nº 13.019, de 31 de julho de 2014, para assegurar o atendimento à população negra nas parcerias entre a administração pública e organizações da sociedade civil.",Direitos Humanos e Minorias,0.765,Direitos Humanos e Minorias,Sim
58,DISPÕE SOBRE O ACESSO DA MULHER AO MERCADO DE TRABALHO E DETERMINA OUTRAS PROVIDENCIAS.,Direitos Humanos e Minorias,0.915,Cidades e Desenvolvimento Urbano,Não
59,"AUTORIZA O PODER EXECUTIVO A ABRIR, PELO MINISTERIO DA SAUDE, O CREDITO ESPECIAL, DE Cr$ 30.000.000,00, PARA AUXILIAR A RECONSTRUÇÃO DO HOSPITAL NEURO-PSIQUIATRICO INFANTIL CARLOS CHAGAS, NA CIDADE DE OLIVEIRA, MINAS GERAIS.",Direitos Humanos e Minorias,0.885,Direitos Humanos e Minorias,Sim
60,DISPOE SOBRE INCORPORAÇÃO DE VANTAGENS AOS PROVENTOS DA APOSENTADORIA.,Trabalho e Emprego,0.94,Trabalho e Emprego,Sim
61,DISPÕE SOBRE A REGULAMENTAÇÃO DOS CONTRATOS DE GESTÃO A SEREM ASSINADOS COM AS SOCIEDADES DE ECONOMIA MISTA.,Direitos Humanos e Minorias,0.565,Direitos Humanos e Minorias,Sim
62,REVOGA OS DECRETOS-LEIS 7379 DE 13 03 45 E 8618 DE 10 01 46 QUE LIMITAM A ALIENAÇÃO DE IMOVEIS FINANCIADOS PELOS INSTITUTOS E CAIXAS DE APOSENTADORIA E PENSÕES.,Trabalho e Emprego,0.9,Trabalho e Emprego,Sim
63,"REVIGORA O TEXTO DO ARTIGO 33 DO DECRETO-LEI Nº 229, DE 28 DE FEVEREIRO DE 1967, QUE ALTERA DISPOSITIVOS DA CONSOLIDAÇÃO DAS LEIS DO TRABALHO.",Direitos Humanos e Minorias,0.3896666666666666,Trabalho e Emprego,Não
64,"Altera a Lei nº 12.764, de 27 de dezembro de 2012, para estabelecer a inclusão automática de pessoas com transtorno do espectro autista entre os grupos prioritários para vacinação em situações de emergência sanitária ou calamidade em saúde, ressalvada a existência de alguma restrição sanitária específica para esse grupo estabelecidas pela Agência Nacional de Vigilância Sanitária - ANVISA.",Saúde,0.78,Saúde,Sim
65,"DISPÕE SOBRE A INALTERABILIDADE DOS VALORES DE ALUGUEIS DE IMOVEIS, PELO PRAZO DE 02 (DOIS) ANOS.",Direitos Humanos e Minorias,0.6716666666666665,Direitos Humanos e Minorias,Sim
66,Estabelece causa de aumento de pena para a prática de pedofilia encontrando-se a vítima dormindo.,Saúde,0.425,Saúde,Sim
67,"Acrescenta dispositivo à Lei nº 8.112, de 11 de dezembro de 1990, que ""Dispõe sobre o regime jurídico dos servidores públicos civis da União, das autarquias e das fundações públicas federais"".",Direitos Humanos e Minorias,0.42,Previdência e Assistência Social,Não
68,Dispõe sobre a criação de reserva obrigatória de participação de mulheres em conselhos de administração das sociedades empresárias que especifica e dá outras providências.,Direitos Humanos e Minorias,0.915,Direitos Humanos e Minorias,Sim
69,"Altera a Lei nº 8.036, de 11 de maio de 1990, que ""Dispõe sobre o Fundo de Garantia do Tempo de Serviço, e dá outras providências"", para que a conta vinculada do trabalhador no FGTS possa ser movimentada para pagamento de pensão alimentícia.",Direitos Humanos e Minorias,0.725,Direitos Humanos e Minorias,Sim
70,DISPÕE SOBRE A SITUAÇÃO DA MULHER FRENTE AO MERCADO DE TRABALHO.,Direitos Humanos e Minorias,0.965,Direitos Humanos e Minorias,Sim
71,DISPÕE SOBRE A SITUAÇÃO DA MULHER FRENTE AO MERCADO DE TRABALHO.,Direitos Humanos e Minorias,0.965,Direitos Humanos e Minorias,Sim
72,DISPÕE SOBRE A SITUAÇÃO DA MULHER FRENTE AO MERCADO DE TRABALHO.,Direitos Humanos e Minorias,0.965,Direitos Humanos e Minorias,Sim
73,DISPÕE SOBRE A SITUAÇÃO DA MULHER FRENTE AO MERCADO DE TRABALHO.,Direitos Humanos e Minorias,0.965,Direitos Humanos e Minorias,Sim
74,"Altera a Lei nº 10.098, de 19 de dezembro de 2000, que dispõe sobre a promoção da acessibilidade das pessoas com deficiência ou com mobilidade reduzida, para dispor sobre a instalação de equipamento sonoro nos veículos de transporte público coletivo de passageiros.",Direito Civil e Processual Civil,0.945,Direito Civil e Processual Civil,Sim
75,AUTORIZA AS MESAS DA CAMARA DOS DEPUTADOS E DO SENADO FEDERAL A REQUISITAREM DAS EMISSORAS DE TELEVISÃO CINCO MINUTOS DIARIOS PARA DIVULGAÇÃO DOS TRABALHOS DO PODER LEGISLATIVO.,Direitos Humanos e Minorias,0.735,Direitos Humanos e Minorias,Sim
76,"MODIFICA A REDAÇÃO DO PARAGRAFO SETIMO DO ART. 32 DA LEI Nº  3.807, DE 26 DE AGOSTO DE 1960 (LEI ORGANICA DA PREVIDENCIA SOCIAL).",Trabalho e Emprego,0.5575,Trabalho e Emprego,Sim
77,"Altera a Lei nº 6.815, de 19 de agosto de 1980, para instituir a prisão temporária para fins de extradição com base em solicitação de organização Internacional de Policia Criminal (O.I.P.C - Interpol).",Direitos Humanos e Minorias,0.46888888888888886,"Agricultura, Pecuária, Pesca e Extrativismo",Não
78,"EXCLUI DO REGIME DO DESCONTO NA FONTE, PARA EFEITOS DO IMPOSTO DE RENDA, OS RENDIMENTOS DO TRABALHO ASSALARIADO, ALTERANDO O ARTIGO QUINTO DO DECRETO-LEI Nº 5.844, DE 23 DE SETEMBRO DE 1943, ARTIGO 16 DA LEI Nº 4.357, DE 16 DE JULHO DE 1964 E ARTIGO 16 DA LEI Nº 4.506, DE 30 DE NOVEMBRO DE 1964.",Trabalho e Emprego,0.47875,Trabalho e Emprego,Sim
79,DISPÕE SOBRE A APOSENTADORIA ESPECIAL PARA OS TRABALHADORES QUE EXERCEM ATIVIDADES PROFISSIONAIS QUE ESPECIFICA.,Trabalho e Emprego,0.985,Trabalho e Emprego,Sim
80,Dá nova redação ao art. 101 da Constituição Federal.,Direitos Humanos e Minorias,0.8154166666666666,Trabalho e Emprego,Não
81,"CONCEDE A APOSENTADORIA VOLUNTARIA, AOS 25 ANOS DE SERVIÇO AOS SERVIDORES DO SERVIÇO GRAFICO DA UNIÃO, CUJAS ATRIBUIÇÕES OS OBRIGUE A UM CONTATO PERMANENTE COM SUBSTANCIAS NOCIVAS A SAUDE.",Trabalho e Emprego,0.94,Trabalho e Emprego,Sim
82,APROVA O PROTOCOLO DE EMENDA AO ACORDO INTERNACIONAL QUE VISA A GARANTIR UMA PROTEÇÃO EFICAZ CONTRA O TRAFICO DE BRANCAS E DA OUTRAS PROVIDENCIAS.,Direitos Humanos e Minorias,0.6886666666666668,Direitos Humanos e Minorias,Sim
83,"Dispõe sobre medidas de suspensão de concessões ou outras obrigações do País relativas aos direitos de propriedade intelectual e outros, em casos de descumprimento de obrigações do Acordo Constitutivo da Organização Mundial do Comércio - OMC.",Direitos Humanos e Minorias,0.555,"Arte, Cultura e Religião",Não
84,ALTERA A LEGISLAÇÃO DO INSTITUTO DE PREVIDENCIA DOS CONGRESSISTAS.,Direitos Humanos e Minorias,0.63,Direitos Humanos e Minorias,Sim
85,"Acrescenta parágrafo ao art. 23 da Constituição Federal para permitir que Estados, Distrito Federal e Municípios possam promover atos e celebrar acordos ou convênios com entes subnacionais estrangeiros.",Direitos Humanos e Minorias,0.635,"Agricultura, Pecuária, Pesca e Extrativismo",Não
86,"ALTERA A REDAÇÃO DE DISPOSITIVOS DA LEI 8212, DE 24 DE JULHO DE 1991, QUE 'DISPÕE SOBRE A ORGANIZAÇÃO DA SEGURIDADE SOCIAL, INSTITUI PLANO DE CUSTEIO E DA OUTRAS PROVIDENCIAS'.",Direitos Humanos e Minorias,0.575,Trabalho e Emprego,Não
87,"ALTERA O ARTIGO 33 DA LEI 0RGANICA DA PREVIDENCIA SOCIAL, E DA OUTRAS PROVIDENCIAS.",Cidades e Desenvolvimento Urbano,0.645,Cidades e Desenvolvimento Urbano,Sim
88,DISPÕE ACERCA DE RECLAMAÇÕES SOBRE SERVIÇOS PUBLICOS.,Direitos Humanos e Minorias,0.7028571428571427,Direitos Humanos e Minorias,Sim
89,"ACRESCENTA DISPOSITIVOS A LEI 3807, DE 26 DE AGOSTO DE 1960 DISPONDO SOBRE A PRESTAÇÃO DE SERVIÇOS ASSISTENCIAIS AOS DEFICIENTES FISICOS.",Trabalho e Emprego,0.3183333333333333,Trabalho e Emprego,Sim
90,CONSIDERA A ACADEMIA NACIONAL DE MEDICINA CONTRIBUINTE OBRIGATORIA DO INSTITUTO DE PENSÕES E APOSENTADORIAS DOS SERVIDORES DO ESTADO.,Trabalho e Emprego,0.74,Trabalho e Emprego,Sim
91,"Dispõe sobre a obrigatoriedade de inclusão, nos programas de ensino de 1º e 2º graus, das informações e orientações científicas sobre a Síndrome de Imunodeficiência Adquirida - AIDS, Doenças Sexualmente Transmissíveis - DSTs, drogas, entorpecentes, psicotrópicos, bebidas alcoólicas e cigarros e dá outras providências.",Saúde,0.7425,Saúde,Sim
92,"Acresce parágrafo ao artigo 3º da Lei nº 10.216, de 06 de abril de 2001, a qual dispõe sobre a proteção e os direitos das pessoas portadoras de transtornos mentais e redireciona o modelo assistencial em saúde mental.",Direitos Humanos e Minorias,0.43,Saúde,Não
93,"Dá nova redação ao art. 10 da Lei nº 8.069, de 13 de julho de 1990, que ""Dispõe sobre o Estatuto da Criança e do Adolescente e dá outras providências"".",Direitos Humanos e Minorias,0.85,Saúde,Não
94,"Altera dispositivos da Lei nº 9.394, de 20 de dezembro de 1996, que '""fixa diretrizes e bases da educação nacional"".",Educação,0.54265873015873,Direito Civil e Processual Civil,Não
95,"AUTORIZA O PODER EXECUTIVO A ABRIR, AO CONGRESSO NACIONAL - CAMARA DOS DEPUTADOS, UM CREDITO ESPECIAL DE Cr$ 2.040.000,00 PARA PAGAMENTO DE GRATIFICAÇÃO AOS FUNCIONARIOS DA SECRETARIA DA CAMARA E AOS SERVIDORES DO PODER EXECUTIVO QUE NELA EXERCEM SUAS ATIVIDADES.",Direitos Humanos e Minorias,0.76,Direitos Humanos e Minorias,Sim
96,"Dispõe sobre a administração de medicamentos em berçários, creches e escolas.",Educação,0.5875,Educação,Sim
97,"DISPÕE SOBRE OS MODULOS ESTATUTARIOS DO SERVIDOR DA ADMINISTRAÇÃO FEDERAL - MESAF, E DA OUTRAS PROVIDENCIAS.",Direitos Humanos e Minorias,0.575375,Direitos Humanos e Minorias,Sim
98,"ALTERA A REDAÇÃO DOS ARTIGOS 379 E 380 DA CONSOLIDAÇÃO DAS LEIS DO TRABALHO, APROVADA PELO DECRETO-LEI Nº 5.452, DE 01 DE MAIO DE 1943.",Direitos Humanos e Minorias,0.925,Direitos Humanos e Minorias,Sim
99,Regulamenta a mineração nas Terras Indígenas do Povo Cinta Larga e dá outras providências.,Direitos Humanos e Minorias,0.645,Direitos Humanos e Minorias,Sim
100,"DA NOVA REDAÇÃO AO ARTIGO NONO DA LEI 5890, DE 08 DE JUNHO DE 1973, DISPONDO SOBRE A APOSENTADORIA DOS PORTADORES DE DEFEITOS FISICOS.",Trabalho e Emprego,0.945,Trabalho e Emprego,Sim
101,"Estabelece limite de despesas com pessoal ativo e inativo da União, dos estados, do Distrito Federal e dos Municípios, e dá outras providências.",Direitos Humanos e Minorias,0.54,Trabalho e Emprego,Não
102,"Institui benefício assistencial para as donas de casa, e dá outras providências.",Direitos Humanos e Minorias,0.83,Direitos Humanos e Minorias,Sim
103,"Regulamenta o art. 8º, inciso III, da Constituição Federal, que institui a figura ""juris"" da substituição processual.",Direitos Humanos e Minorias,0.655,"Agricultura, Pecuária, Pesca e Extrativismo",Não
104,"Altera a Lei nº 10.826, de 22 de dezembro de 2003, para conceder o porte de arma aos Agentes de Segurança Socioeducativos, e dá outras providências.",Direito Penal e Processual Penal,1.0,Direito Penal e Processual Penal,Sim
105,Cria o Fundo Nacional para Alfabetização dos Trabalhadores na Construção Civil e dá outras providências.,Educação,0.425,Educação,Sim
106,Torna insubsistente o decreto que aposentou o funcionário da Fazenda Paulo Martins.<Historico>,Direitos Humanos e Minorias,0.7889880952380952,Trabalho e Emprego,Não
